,Institution,Faculty Name,Field,HomePage,Research Interests,Scholar Url,h_index,i10_index,Image
205,Indian Institute of Technology Guwahati,Mrinal Kanti Dutta,Humanities and Social Sciences Centre for the Environment Centre for Sustainable Water Research School of Agro and Rural Technology,https://iitg.ac.in/iitg_faculty_details?name=Mrinal%20Kanti%20Dutta-&fac=WVdXd3c0VXZHTTJzVW91bXBndVdWdz09,[ 'Economics ' ],https://scholar.google.co.in/citations?user=xskK69sAAAAJ,9,8,https://iitg.ac.in/storage/faculty/7904MKD.JPG
206,Indian Institute of Technology Guwahati,N. Selvaraju,Mathematics,https://iitg.ac.in/iitg_faculty_details?name=N.-Selvaraju&fac=UWp4b21ia3VmMHhHZENYRy9iTGRNdz09,"[ 'Queueing Theory ' , ' Financial Mathematics ' , ' Stochastic Modelling ' , ' Operations Research ' ]",https://scholar.google.co.in/citations?user=cICz1ukAAAAJ,36,85,https://iitg.ac.in/storage/faculty/1029ns-maths.jpg
207,Indian Institute of Technology Guwahati,Nachiketa Tripathi,Humanities and Social Sciences School of Business,https://iitg.ac.in/iitg_faculty_details?name=Nachiketa-Tripathi&fac=SW56TENyL2dPOEYwNlNia01Hdk9EZz09,[ 'Psychology ' ],https://scholar.google.co.in/citations?user=tDShOQ8AAAAJ,16,22,https://iitg.ac.in/storage/faculty/94534554NT-HSS.jpg
208,Indian Institute of Technology Guwahati,Nanda Kishore,Chemical Engineering School of Agro and Rural Technology,https://iitg.ac.in/iitg_faculty_details?name=Nanda-Kishore&fac=ekNwQW5Meld5N0Z1NTc3WVdtWkFQQT09,"[ 'Biofuels ' , ' Computational Fluid Flow and Heat/Mass Transfer ' , ' Density Functional Theory ' , ' Non-Newtonian Fluids ' ]",https://scholar.google.co.in/citations?user=ZPQ8h9sAAAAJ,21,45,https://iitg.ac.in/storage/faculty/6309faculty.JPG
209,Indian Institute of Technology Guwahati,Natesan Srinivasan,Mathematics,https://iitg.ac.in/iitg_faculty_details?name=Natesan-Srinivasan&fac=akl6ZGVSVmkzenFwQ3FvMU5Xc21yZz09,"[ 'Numerical Solution of Singular Perturbation Problems - Finite Difference/Element Methods Homogenization ' , ' Multi-Scale Problems : Bloch Wave Decomposition - Numerical Methods Domain Decomposition & Parallel Computation of Differential Equations Computational Fluid Dynamics ' ]",https://scholar.google.co.in/citations?user=UjWU0YwAAAAJ,29,69,https://iitg.ac.in/storage/faculty/7268natesan-maths.jpg
210,Indian Institute of Technology Guwahati,Niranjan Sahoo,Mechanical Engineering,https://iitg.ac.in/iitg_faculty_details?name=Niranjan-Sahoo&fac=WDAzSG15Qll4Sm5VdngrcnNZU1JKUT09,[ 'Instrumentation | Fluid and Thermal Engineering | Aerodynamics | Gas Dynamics | MEASUREMENTS AND EXPERIMENTS IN FLUID | ' ],https://scholar.google.co.in/citations?user=elIBAo0AAAAJ,38,92,https://iitg.ac.in/storage/faculty/680img.jpg
211,Indian Institute of Technology Guwahati,Nitin Chaudhary,Biosciences and Bioengineering,https://iitg.ac.in/iitg_faculty_details?name=Nitin-Chaudhary&fac=WTE5QlJGM0wyeElSUkkwQ1BGRjUxQT09,"[ 'Peptide self-assembly and amyloid aggregate ' , ' Peptide-membrane interaction Curvature induce protein ' ]",https://scholar.google.co.in/citations?user=cLIxGL0AAAAJ,13,14,https://iitg.ac.in/storage/faculty/5233img.jpg
212,Indian Institute of Technology Guwahati,P. Muthukumar,Mechanical Engineering,https://iitg.ac.in/iitg_faculty_details?name=P.-Muthukumar&fac=TFlWNlhFSTJibUVOYnRTTXFOZWduUT09,[ 'Coupled heat and mass transfer analysis | Metal hydride base thermal machine | Conventional and Non-conventional refrigeration system | ' ],https://scholar.google.co.in/citations?user=TQ3fiegAAAAJ,43,102,https://iitg.ac.in/storage/faculty/2775img.jpg
213,Indian Institute of Technology Guwahati,P. S. Robi,Mechanical Engineering,https://iitg.ac.in/iitg_faculty_details?name=P.%20S.-Robi&fac=MWZBdEZvc0RoUmJrZ1J6aDBSMHBXdz09,[ 'Fracture Mechanics | Coating | Metal Casting | Metal Matrix composite | P/M Processing | Materials Processing | ' ],https://scholar.google.co.in/citations?user=qOl1YgEAAAAJ,61,176,https://iitg.ac.in/storage/faculty/984img.jpg
214,Indian Institute of Technology Guwahati,Padma K Padmanabhan,Physics,https://iitg.ac.in/iitg_faculty_details?name=Padma-K%20Padmanabhan&fac=dUlzUHU1OHJEeXBUL2NLYWh4anlLQT09,[ 'Atomistic Modeling and Simulation of Condensed States of Matter ' ],https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/8219faculty.JPG
